id,recency,total_purchase,frequency,last_purchase_amount,region,gender,age,repeater
497975716,33,13.26,3,5.98,Mid-Atlantic,Female,48,Yes
560327838,49,9.48,3,3,Mid-Atlantic,Female,42,Yes
126707506,45,3.99,1,3.99,South-West,Female,36,No
495782481,56,6.76,2,3.99,Mid-Atlantic,Female,42,Yes
3994228590,78,9.27,3,3.29,South-East,Male,32,No
125093627,334,3.06,1,3.06,South-East,Female,31,No
3379484954,141,3.59,1,3.59,West,Female,57,Yes
2571365333,195,18.54,4,5.98,West,Male,44,Yes
3296426695,173,11.07,3,4.19,West,Female,32,Yes
308643361,297,14.36,3,3.59,South-West,Male,54,No
440389698,277,9.18,2,4.59,North-West,Female,47,No
401028949,57,9.17,3,3.49,West,Female,62,Yes
3856837860,60,38.29,11,3.19,South-West,Female,48,Yes
592445399,47,8.94,3,2.98,West,Male,27,Yes
370308349,115,12.57,3,4.29,South-West,Male,38,No
4638811645,198,3.79,1,3.79,Mid-Atlantic,Male,27,No
2498641873,67,9.29,2,4,Mid-Atlantic,Male,23,No
501378562,263,3.19,1,3.19,Mid-Atlantic,Female,37,Yes
2184630174,115,3.99,1,3.99,Mid-Atlantic,Female,48,Yes
1900378542,324,3.39,1,3.39,South-East,Male,36,No
4629681964,145,8.88,2,4.99,South-East,Male,37,No
3677965803,224,3.39,1,3.39,North-West,Female,42,Yes
2741958395,86,3.89,1,3.89,West,Female,43,Yes
3407689920,56,3.49,1,3.49,North-West,Male,42,No
542696644,245,5.98,1,5.98,South-East,Male,22,No
577542494,197,3.79,1,3.79,South-East,Female,37,Yes
715448405,236,5.98,1,5.98,South-West,Female,30,Yes
2201595359,153,7.98,2,2.49,Mid-Atlantic,Female,23,Yes
3490834926,36,14.98,5,2.97,North-West,Male,33,No
758369290,78,7.83,3,2.83,Mid-West,Male,45,No
496938637,161,6.48,2,3.19,Mid-Atlantic,Male,37,No
496709453,66,6.18,2,2.99,Mid-Atlantic,Male,42,Yes
599903983,246,3.99,1,3.99,Mid-Atlantic,Female,37,No
585124142,112,3.99,1,3.99,Mid-Atlantic,Female,52,Yes
3015596880,78,5.49,1,5.49,North-East,Male,33,No
370160010,26,9,2,6,South-West,Female,22,Yes
246060731,290,3.49,1,3.49,West,Female,28,No
4634990651,123,7.98,2,3.99,Mid-Atlantic,Male,27,Yes
310783991,300,7.18,1,7.18,South-West,Female,43,No
695944313,82,6.88,2,3.49,North-West,Male,35,Yes
463857605,158,6.98,1,6.98,West,Male,62,Yes
2849863169,100,10.17,3,3.39,Mid-West,Female,28,No
